tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,188,75.79,2.55,58.26,75.69,76.32,77.05,79.87,21.61,-2.91,13.04
tenant-c,188,1056.08,587.67,16.88,540.80,1040.32,1594.09,2063.62,2046.74,0.08,-1.23
tenant-d,188,1920.73,1083.65,14.50,497.36,2498.11,2853.35,3094.88,3080.38,-0.48,-1.61
