tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,187,2.69,0.31,0.72,2.59,2.75,2.86,3.16,2.44,-3.20,17.05
tenant-c,187,0.95,0.12,0.16,0.91,0.98,1.02,1.08,0.93,-3.82,20.92
tenant-d,187,2.04,0.33,0.04,1.95,2.11,2.24,2.27,2.22,-3.83,17.97
