tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,246,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tenant-b,244,50.11,10.48,1.27,48.73,52.64,55.64,63.10,61.83,-2.48,6.82
tenant-c,246,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
tenant-d,246,35.55,4.61,24.73,32.87,35.28,37.50,56.93,32.20,1.55,5.17
