tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,246,75.72,2.76,64.98,75.94,76.42,76.93,79.04,14.06,-2.63,6.44
tenant-b,245,2933.19,2381.23,5.96,253.88,2971.30,5156.83,7035.13,7029.17,0.13,-1.50
tenant-c,246,1320.05,646.51,46.14,758.73,1338.00,1826.44,2517.48,2471.34,-0.06,-1.10
tenant-d,246,2443.84,48.00,2321.91,2409.75,2441.12,2484.33,2533.02,211.10,0.02,-0.53
