tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,187,52.09,5.72,18.56,49.39,53.45,55.27,62.61,44.05,-2.12,9.22
tenant-c,187,201.43,23.74,74.37,190.60,205.97,216.32,238.40,164.03,-2.15,8.47
tenant-d,187,3.77,1.16,0.00,3.56,3.98,4.23,7.45,7.44,-0.99,4.92
