tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,93,52.79,4.14,42.22,50.21,53.23,55.57,61.74,19.52,-0.39,-0.07
tenant-b,11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.89,1.16
tenant-c,93,195.21,24.10,121.83,180.38,199.40,214.41,236.62,114.79,-0.84,0.58
tenant-d,93,4.18,0.31,3.46,3.96,4.22,4.40,5.10,1.64,-0.18,0.09
