tenant,count,mean,std,min,q1,median,q3,max,range,skew,kurtosis
tenant-a,93,75.71,2.69,64.93,75.80,76.41,76.96,78.48,13.56,-2.33,4.91
tenant-b,5,201.74,16.92,177.93,191.67,205.10,216.99,216.99,39.06,-0.63,-1.29
tenant-c,93,1160.95,627.83,54.09,627.36,1148.99,1677.54,2377.13,2323.04,0.10,-1.05
tenant-d,93,2788.03,157.59,2451.41,2654.79,2783.32,2931.63,3029.29,577.88,-0.17,-1.13
