value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.10,-2286969902760199.00,-0.76,-0.25
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
