value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.03,-3005318544060906.50,0.33,0.67
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
