value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.08,-4542028963852418.00,-0.50,-0.50
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
