value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.00,3002416643470002.00,0.00,1.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
