value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.03,9016481835438902.00,0.00,-1.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
