value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
-0.95,344165412776603366874677248.00,-1651192480556325.75,1651192480556325.75
0.01,1997804409112607644975104.00,2092024411805523.75,-2092024411805523.25
0.02,-4766218191676260283842560.00,-5820597324969636.00,5820597324969637.00
-1.00,-16168890527309307182055424.00,-445817925214040.56,445817925214040.56
