value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.09,4564058275954563.00,0.00,-1.01
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
