value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.12,4603245143643292.00,-26239.00,26240.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
