value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
0.12,4595463335837957.00,-3690.26,3689.26
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00
