value,phase_number,experiment_elapsed_seconds,experiment_elapsed_minutes
-0.19,0.04,-2713807719937168.00,2713807719937167.50
-0.98,0.00,-219790812291360.38,219790812291360.44
0.30,0.00,-103226503837001.17,103226503837002.19
-0.10,0.06,-4411174918176383.50,4411174918176383.00
