cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.00031863092743712984), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0012377338318310233), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(7.948418711338716e-05), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.001007089852217723), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0022973715763683006), 'significant': np.True_}}",all,cpu_usage,round-3
tenant-a,tenant-c,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(3.988144286711563e-07), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(8.339562942606518e-07), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(7.323910705926881e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.00044437015408266034), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0009324802370016414), 'significant': np.True_}}",all,cpu_usage,round-3
tenant-a,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.0003113002135307495), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(4.7004965977778316e-05), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(2.336462676214412e-07), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(1.3319940782467371e-06), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(5.8497527781857707e-05), 'significant': np.True_}}",all,cpu_usage,round-3
tenant-b,tenant-a,False,0,5,0.06,"{'lag_1': {'p_value': np.float64(0.7104844841875956), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.3318368540420519), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.05934350257097597), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.06042963005884622), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7697008017006806), 'significant': np.False_}}",all,cpu_usage,round-3
tenant-b,tenant-c,False,0,5,0.23,"{'lag_1': {'p_value': np.float64(0.34075223169414354), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.9963482636487848), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.48977131854024347), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.26721683640520844), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.23185534694767326), 'significant': np.False_}}",all,cpu_usage,round-3
tenant-b,tenant-d,True,2,5,0.03,"{'lag_1': {'p_value': np.float64(0.7537168171251898), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.34299162107186304), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.032310780118949056), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.036062790896855636), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.11078370550590795), 'significant': np.False_}}",all,cpu_usage,round-3
tenant-c,tenant-a,True,3,5,0.00,"{'lag_1': {'p_value': np.float64(0.6050474100058747), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.6787212795050334), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.0183132001250788), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0002630375955186907), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(5.1610388279900726e-05), 'significant': np.True_}}",all,cpu_usage,round-3
tenant-c,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(1.4956297116294759e-05), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(1.5610151532521145e-06), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(4.0649964687763745e-10), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(2.8965938212751657e-07), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(2.5905406582995238e-05), 'significant': np.True_}}",all,cpu_usage,round-3
tenant-c,tenant-d,False,0,5,0.05,"{'lag_1': {'p_value': np.float64(0.7560398953109729), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.6644076202164687), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.06009828768826916), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.058522327055054), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.05084729441224836), 'significant': np.False_}}",all,cpu_usage,round-3
tenant-d,tenant-a,True,3,5,0.00,"{'lag_1': {'p_value': np.float64(0.2628167400217009), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.22916242530880843), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.010719224784682778), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0003136885870890706), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.00029295699914565036), 'significant': np.True_}}",all,cpu_usage,round-3
