cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.00010128300728609225), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.00012328074061983008), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.00037660093398024025), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0014934717320136404), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.04461738688799331), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-a,tenant-c,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.05265810019911187), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5433540199343102), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.2638630714044154), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.02195482126934981), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0003619572009718257), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-a,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.00034938032556797855), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(3.5488089234553696e-05), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(5.2174740880582806e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(8.054846120481489e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0002359750102487327), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-b,tenant-a,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.05478790020491908), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.11329893403044007), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.16339431897459755), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.0004039434604091371), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.018411106371912546), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-b,tenant-c,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.0004445115649751103), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.003996612827418546), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.11782079427058645), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.16122587967703214), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.14820691243572617), 'significant': np.False_}}",all,cpu_usage,round-2
tenant-b,tenant-d,False,0,5,0.45,"{'lag_1': {'p_value': np.float64(0.6608597562702735), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.9068939113534236), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.6719303582487901), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.49308172462745903), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.44798305763497204), 'significant': np.False_}}",all,cpu_usage,round-2
tenant-c,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.1455060866903183), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.013645059873176968), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.013690544334041483), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.007105567757379104), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(8.082847903789792e-07), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-c,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(2.41949044805913e-06), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(2.2506132320755492e-06), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.1899954218481291e-07), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(7.292600087650357e-08), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.00011314894377756067), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-c,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.04390927092851732), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.003038911088509951), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.0016632060636509233), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.00799915146374943), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.024090208574702062), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-d,tenant-a,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.3653996979492693), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5597876204815467), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.7865318918422823), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.04069659375437433), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.004158478600452391), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-d,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(4.434940043194087e-08), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(3.660142531937785e-07), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.0778391429938123e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(1.8209742823642432e-07), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(5.78107403579614e-06), 'significant': np.True_}}",all,cpu_usage,round-2
tenant-d,tenant-c,True,3,5,0.00,"{'lag_1': {'p_value': np.float64(0.42434671327610896), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.06567768592986592), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.002116305668909361), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0016762289039994273), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0003396834519024978), 'significant': np.True_}}",all,cpu_usage,round-2
