cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,False,0,5,0.20,"{'lag_1': {'p_value': np.float64(0.2047915935257062), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.4699968820669197), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.7747904633913797), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.9022367788177483), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9429382655901394), 'significant': np.False_}}",all,memory_usage,round-3
tenant-a,tenant-c,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(5.879337289867828e-09), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(8.390504989582559e-17), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(3.006359672483533e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0031198770016342336), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.011123863560804683), 'significant': np.True_}}",all,memory_usage,round-3
tenant-a,tenant-d,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.48566997441690607), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.687135135866173), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9425830789688628), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.0015800608468681345), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(6.001336047498938e-07), 'significant': np.True_}}",all,memory_usage,round-3
tenant-b,tenant-a,False,0,5,0.64,"{'lag_1': {'p_value': np.float64(0.7330954726919408), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.636126896942709), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.7198552530254896), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.8071153207185319), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7334699770593347), 'significant': np.False_}}",all,memory_usage,round-3
tenant-b,tenant-c,False,0,5,0.83,"{'lag_1': {'p_value': np.float64(0.8331779093493364), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.854383005893679), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.935596974004685), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.9487814692802792), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9395121310096146), 'significant': np.False_}}",all,memory_usage,round-3
tenant-b,tenant-d,False,0,5,0.53,"{'lag_1': {'p_value': np.float64(0.9381832349354777), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5326745803204687), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.5308768389268514), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.6708696555972429), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7959521900089546), 'significant': np.False_}}",all,memory_usage,round-3
tenant-c,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.5565738365350692), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.0015024496660336125), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.0003280628412268034), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0019814685254346816), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.04267270735868185), 'significant': np.True_}}",all,memory_usage,round-3
tenant-c,tenant-b,False,0,5,0.46,"{'lag_1': {'p_value': np.float64(0.8860260080982042), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.9585874311791402), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.824414429443743), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.563599074582692), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.462336112025167), 'significant': np.False_}}",all,memory_usage,round-3
tenant-c,tenant-d,True,3,5,0.00,"{'lag_1': {'p_value': np.float64(0.8040649039365984), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.8442286363363535), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.0012624151198735937), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(3.235712507743775e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(5.471119724730534e-12), 'significant': np.True_}}",all,memory_usage,round-3
tenant-d,tenant-a,False,0,5,0.60,"{'lag_1': {'p_value': np.float64(0.6370613510447904), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5983823206780641), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.801936076550148), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.8458887037533206), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7459771504762254), 'significant': np.False_}}",all,memory_usage,round-3
tenant-d,tenant-b,False,0,5,0.69,"{'lag_1': {'p_value': np.float64(0.7783544915349118), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.9688590481156125), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9674541094186023), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.6932105465744499), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.885181658431785), 'significant': np.False_}}",all,memory_usage,round-3
tenant-d,tenant-c,True,1,5,0.02,"{'lag_1': {'p_value': np.float64(0.17748334934412033), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.019351808332015802), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.13342662531150903), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.05674129873607597), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.06657199785024082), 'significant': np.False_}}",all,memory_usage,round-3
