cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,False,0,5,0.33,"{'lag_1': {'p_value': np.float64(0.38213844165322464), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.6528828516225182), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.8074490692851525), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.8948962275692671), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.3256790184147295), 'significant': np.False_}}",all,memory_usage,round-2
tenant-a,tenant-c,False,0,5,0.54,"{'lag_1': {'p_value': np.float64(0.5355730537305717), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.7363525747036774), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.7919091597811339), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.9028798005257336), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9085013870021748), 'significant': np.False_}}",all,memory_usage,round-2
tenant-a,tenant-d,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.07453124613397846), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.16785707160736896), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.4345869680724179), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(2.0085698788239035e-08), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(1.0980351287720422e-08), 'significant': np.True_}}",all,memory_usage,round-2
tenant-b,tenant-a,False,0,5,0.64,"{'lag_1': {'p_value': np.float64(0.6358810839844019), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.863836587224582), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9593161096709439), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.6447623431547418), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.715192695573956), 'significant': np.False_}}",all,memory_usage,round-2
tenant-b,tenant-c,False,0,5,0.78,"{'lag_1': {'p_value': np.float64(0.7796576806663452), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.8163203348711208), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9329540639897249), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.98475729611564), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9188464133490175), 'significant': np.False_}}",all,memory_usage,round-2
tenant-b,tenant-d,False,0,5,0.61,"{'lag_1': {'p_value': np.float64(0.7303485477204337), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.6141208626401632), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.6760460387147913), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.8993425899389725), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.953560023656535), 'significant': np.False_}}",all,memory_usage,round-2
tenant-c,tenant-a,True,3,5,0.01,"{'lag_1': {'p_value': np.float64(0.1367696682583728), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.3350224498683283), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.03688795371317223), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.005037012696656385), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.006823903367607706), 'significant': np.True_}}",all,memory_usage,round-2
tenant-c,tenant-b,False,0,5,0.74,"{'lag_1': {'p_value': np.float64(0.735607639390877), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.9499224646093727), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.8669197592279229), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.8481264200312173), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.8610181351901707), 'significant': np.False_}}",all,memory_usage,round-2
tenant-c,tenant-d,False,0,5,0.27,"{'lag_1': {'p_value': np.float64(0.2695383875920539), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.4831356447607754), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.5623711162933243), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.7118810255282915), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.8527954013949756), 'significant': np.False_}}",all,memory_usage,round-2
tenant-d,tenant-a,False,0,5,0.14,"{'lag_1': {'p_value': np.float64(0.33806582700864485), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.4518526227179651), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.13880256501196073), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.39524440771640884), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.2818956267730284), 'significant': np.False_}}",all,memory_usage,round-2
tenant-d,tenant-b,False,0,5,0.64,"{'lag_1': {'p_value': np.float64(0.6419105845649797), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.8649060123343392), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9440161660753987), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.7706581918398181), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.8917640395503867), 'significant': np.False_}}",all,memory_usage,round-2
tenant-d,tenant-c,False,0,5,0.18,"{'lag_1': {'p_value': np.float64(0.5925457481269842), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.521963019972287), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.5344630367955059), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.184751121198356), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.23240332716142353), 'significant': np.False_}}",all,memory_usage,round-2
