cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,1,5,0.04,"{'lag_1': {'p_value': np.float64(0.057159252253934305), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.057480707788656035), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.08386300511146094), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.060366294682789236), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.039991509943103555), 'significant': np.True_}}",all,memory_usage,round-1
tenant-a,tenant-c,False,0,5,0.16,"{'lag_1': {'p_value': np.float64(0.22183012141054004), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.4646800110350533), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.27449287300267505), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.3589740002014843), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.1643405969679867), 'significant': np.False_}}",all,memory_usage,round-1
tenant-a,tenant-d,False,0,5,0.59,"{'lag_1': {'p_value': np.float64(0.5872820771955021), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.7808964817653014), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.8609563981304831), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.9142120869758706), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9377515719966283), 'significant': np.False_}}",all,memory_usage,round-1
tenant-b,tenant-a,False,0,5,0.25,"{'lag_1': {'p_value': np.float64(0.35813802964878927), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.7026911729153084), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.24802571034737325), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.3386041540242445), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.44448005127348866), 'significant': np.False_}}",all,memory_usage,round-1
tenant-b,tenant-c,False,0,5,0.75,"{'lag_1': {'p_value': np.float64(0.7546728135811889), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.8647349004039333), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9246264269808093), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.9870772768512389), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9078152296562517), 'significant': np.False_}}",all,memory_usage,round-1
tenant-b,tenant-d,False,0,5,0.31,"{'lag_1': {'p_value': np.float64(0.305235304664053), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.6234114163131803), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.6737575931434232), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.6992731917574151), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7696774149154681), 'significant': np.False_}}",all,memory_usage,round-1
tenant-c,tenant-a,False,0,5,0.87,"{'lag_1': {'p_value': np.float64(0.9620138640968665), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.8722962880300612), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.8700100563264648), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.9066665458959345), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9614911441866812), 'significant': np.False_}}",all,memory_usage,round-1
tenant-c,tenant-b,False,0,5,0.24,"{'lag_1': {'p_value': np.float64(0.500640682275809), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.7974108729634395), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.3648353906552213), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.24233790149440257), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.3224776905045866), 'significant': np.False_}}",all,memory_usage,round-1
tenant-c,tenant-d,False,0,5,0.31,"{'lag_1': {'p_value': np.float64(0.30962116546902857), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.46791222704146573), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.6748116327652498), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.6277712316717973), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7666003040759792), 'significant': np.False_}}",all,memory_usage,round-1
tenant-d,tenant-a,False,0,5,0.53,"{'lag_1': {'p_value': np.float64(0.5329027664017454), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5452556065091112), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.6551903123890452), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.7277063111587176), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7797604668140077), 'significant': np.False_}}",all,memory_usage,round-1
tenant-d,tenant-b,False,0,5,0.30,"{'lag_1': {'p_value': np.float64(0.40041355223819164), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.2960483115017928), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.30557132522392516), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.46662935574218667), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.6108381841460886), 'significant': np.False_}}",all,memory_usage,round-1
tenant-d,tenant-c,False,0,5,0.19,"{'lag_1': {'p_value': np.float64(0.7909703615310275), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5811091888567237), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.18516050238074083), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.2805353869929516), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.27563954868908225), 'significant': np.False_}}",all,memory_usage,round-1
