cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.016875900355279427), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.059843320368435565), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.0013627301539380556), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.001866184427432949), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.00014672644689096587), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-a,tenant-c,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.0018241345866271466), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.007425313162860267), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.015593342725849396), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(1.990902068073725e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(1.4155491012383194e-05), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-a,tenant-d,True,3,5,0.00,"{'lag_1': {'p_value': np.float64(0.222986252984893), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.7865887264399527), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.0004622595590755563), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0011596270615969737), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0001874640985775566), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-b,tenant-a,False,0,5,0.10,"{'lag_1': {'p_value': np.float64(0.10438519493915292), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.2169028843282359), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.46542545509037525), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.10135775628058033), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.28480684123874306), 'significant': np.False_}}",all,cpu_usage,round-1
tenant-b,tenant-c,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.00013339849721806228), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.00031778392296846075), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.015163408450454108), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.005457047827835019), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.012046424893293271), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-b,tenant-d,False,0,5,0.18,"{'lag_1': {'p_value': np.float64(0.30818668743718425), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.35804775753880796), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.8029242095303175), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.5015768981636077), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.18072701396805094), 'significant': np.False_}}",all,cpu_usage,round-1
tenant-c,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.47082867945443074), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.04884272268604433), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.0026448134045397773), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.00010493381965222449), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.00028953340911095336), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-c,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.00034188698042378617), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0006617251608749738), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(9.582164964959167e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(2.526660055099028e-09), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(3.4431216730879282e-06), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-c,tenant-d,True,2,5,0.01,"{'lag_1': {'p_value': np.float64(0.39129081518752373), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.45129040172833734), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.1359061184855212), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.014660982816334404), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.03159083437957165), 'significant': np.True_}}",all,cpu_usage,round-1
tenant-d,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.38804047067716607), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.043782516462470424), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.3866306900075017e-05), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(8.628562886568649e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.00010830728507212581), 'significant': np.True_}}",all,cpu_usage,round-1
