cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.013529772449786637), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0019606941705881996), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.0002455378104909189), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0004613406819779066), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.03144913669348841), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-a,tenant-c,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.003722871822878877), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0020693647532161546), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.2952928644228645e-30), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(2.5183202941564873e-09), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0053392272852419735), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-a,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.0010175626638394364), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.00024279779814069142), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(3.1748190848425884e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(4.4135160968873e-08), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(1.140567919087328e-07), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-b,tenant-a,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.00034140294675030194), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.00021597894710448557), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(9.730957890867337e-05), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.00037528883300106823), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.01056258171157271), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-b,tenant-c,True,1,5,0.01,"{'lag_1': {'p_value': np.float64(0.21951165190528987), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.4819827101291342), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.12478919332930613), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.050049578640636874), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.007257581609041644), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-b,tenant-d,True,2,5,0.03,"{'lag_1': {'p_value': np.float64(0.42922706752382955), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.46434754686528446), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.028074645596037687), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.03157635237085067), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.12652356738631243), 'significant': np.False_}}",all,network_total_bandwidth,round-3
tenant-c,tenant-a,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(3.469889083343677e-11), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(6.639800755080878e-07), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.4065324532175972e-08), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(2.1098102436585636e-07), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(9.892230611304736e-08), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-c,tenant-b,True,4,5,0.01,"{'lag_1': {'p_value': np.float64(0.025482747303587964), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.03888329245912323), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.06629318501153779), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.007924156055027902), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.008909712259558132), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-c,tenant-d,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.0017564881020985651), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0053410846978778435), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.13015150488917995), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(5.528838018244491e-25), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(1.46405472240997e-24), 'significant': np.True_}}",all,network_total_bandwidth,round-3
tenant-d,tenant-a,False,0,5,0.05,"{'lag_1': {'p_value': np.float64(0.45537062072608214), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.7709197242941632), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.7114495940339098), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.13843289278235774), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.053868767893109085), 'significant': np.False_}}",all,network_total_bandwidth,round-3
