cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.01291249871067636), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.01109054706590292), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.004972505970516257), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.026438209249242593), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0660641813540154), 'significant': np.False_}}",all,network_total_bandwidth,round-2
tenant-a,tenant-c,True,2,5,0.00,"{'lag_1': {'p_value': np.float64(0.26818955211837203), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.3661179055473252), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.1921563412599466), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.005255584189077914), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(9.738124470617444e-05), 'significant': np.True_}}",all,network_total_bandwidth,round-2
tenant-a,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(7.314158190845732e-06), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(6.337786622138365e-07), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(6.907851127017014e-08), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(1.5451916557059226e-14), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(2.4618867437736613e-09), 'significant': np.True_}}",all,network_total_bandwidth,round-2
tenant-b,tenant-a,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.006484873980973156), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0008322171582579808), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.00020244544723439399), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.001450217028263793), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.034736647369226936), 'significant': np.True_}}",all,network_total_bandwidth,round-2
tenant-b,tenant-c,False,0,5,0.09,"{'lag_1': {'p_value': np.float64(0.09490144236575163), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5344269437367043), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.9659914763317837), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.828023880208541), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.9778032916094429), 'significant': np.False_}}",all,network_total_bandwidth,round-2
tenant-b,tenant-d,False,0,5,0.09,"{'lag_1': {'p_value': np.float64(0.09383796991591087), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.2155330152314212), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.46142272761439684), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.20436087176618672), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.5224775020305006), 'significant': np.False_}}",all,network_total_bandwidth,round-2
tenant-c,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.12404560810143885), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.04379827096399393), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.020611850667270316), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.005705737490924136), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.0013296470072528947), 'significant': np.True_}}",all,network_total_bandwidth,round-2
tenant-c,tenant-b,True,4,5,0.01,"{'lag_1': {'p_value': np.float64(0.006947995172973808), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.006728754108934674), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.015731729558076064), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.02185698641450418), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.09558320159102943), 'significant': np.False_}}",all,network_total_bandwidth,round-2
tenant-c,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(4.0957458173164215e-07), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(4.318501417941884e-07), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.9646966739878988e-08), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(1.4506215225831358e-12), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(5.5717599060186134e-12), 'significant': np.True_}}",all,network_total_bandwidth,round-2
tenant-d,tenant-a,True,1,5,0.00,"{'lag_1': {'p_value': np.float64(0.6677552027229352), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.15996256307524115), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.2225170520157945), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.16551043995703285), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.0032066413194594716), 'significant': np.True_}}",all,network_total_bandwidth,round-2
tenant-d,tenant-b,True,2,5,0.01,"{'lag_1': {'p_value': np.float64(0.011942813170186584), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0407672129734619), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.12474544669274543), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.24428972431081647), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.7474785356312308), 'significant': np.False_}}",all,network_total_bandwidth,round-2
tenant-d,tenant-c,False,0,5,0.09,"{'lag_1': {'p_value': np.float64(0.15701046287406797), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.9367183318899507), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.2542393418646614), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.16624242934916572), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.09010175566852585), 'significant': np.False_}}",all,network_total_bandwidth,round-2
