cause_tenant,effect_tenant,significant_causal_relationship,significant_lags,max_lag_tested,min_p_value,detail,phase,metric,round
tenant-a,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.0035927378973625874), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.026340305964612776), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.005664178398277129), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0030498119765698713), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.015626634814754074), 'significant': np.True_}}",all,network_total_bandwidth,round-1
tenant-a,tenant-c,True,1,5,0.02,"{'lag_1': {'p_value': np.float64(0.023118756713220202), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.28002413520833325), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.5327763202137752), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.07829705056732782), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.1796430767034832), 'significant': np.False_}}",all,network_total_bandwidth,round-1
tenant-a,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(0.0001270908949819643), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(1.3045854068253778e-05), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(5.366219975670325e-08), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(1.8928229915994015e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(2.0825196672418292e-08), 'significant': np.True_}}",all,network_total_bandwidth,round-1
tenant-b,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.11782266051108227), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.01660894175429833), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.009012018439775832), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0013679024585918076), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.018092324893579197), 'significant': np.True_}}",all,network_total_bandwidth,round-1
tenant-b,tenant-c,False,0,5,0.06,"{'lag_1': {'p_value': np.float64(0.06105546133907484), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.5147579315268576), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.09170778498136924), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.07716462269493107), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.17976361113979727), 'significant': np.False_}}",all,network_total_bandwidth,round-1
tenant-b,tenant-d,False,0,5,0.10,"{'lag_1': {'p_value': np.float64(0.6072290622888854), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.13781321759815038), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.19019308080409653), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.12097804382756612), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.09544519889552702), 'significant': np.False_}}",all,network_total_bandwidth,round-1
tenant-c,tenant-a,True,4,5,0.00,"{'lag_1': {'p_value': np.float64(0.13352016034557657), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.030189235888474535), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(2.0725448953611137e-05), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(3.9139421729062146e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(8.871697584455555e-07), 'significant': np.True_}}",all,network_total_bandwidth,round-1
tenant-c,tenant-b,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(4.0196181985512434e-05), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(0.0004913889163692817), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(0.0033700268435637006), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(0.0014057694298479548), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(0.006311528769559983), 'significant': np.True_}}",all,network_total_bandwidth,round-1
tenant-c,tenant-d,True,5,5,0.00,"{'lag_1': {'p_value': np.float64(7.541568176615008e-05), 'significant': np.True_}, 'lag_2': {'p_value': np.float64(1.0136275562077792e-05), 'significant': np.True_}, 'lag_3': {'p_value': np.float64(1.3907803446894627e-06), 'significant': np.True_}, 'lag_4': {'p_value': np.float64(5.902225373327934e-05), 'significant': np.True_}, 'lag_5': {'p_value': np.float64(1.3548107557157412e-06), 'significant': np.True_}}",all,network_total_bandwidth,round-1
tenant-d,tenant-a,False,0,5,0.09,"{'lag_1': {'p_value': np.float64(0.7841485757899948), 'significant': np.False_}, 'lag_2': {'p_value': np.float64(0.8782079544629102), 'significant': np.False_}, 'lag_3': {'p_value': np.float64(0.15590329575176012), 'significant': np.False_}, 'lag_4': {'p_value': np.float64(0.1544773349012088), 'significant': np.False_}, 'lag_5': {'p_value': np.float64(0.08888335492486313), 'significant': np.False_}}",all,network_total_bandwidth,round-1
