tenant-a,tenant-b,tenant-c,tenant-d
53952834235070.95,1189065694612940.75,8988711594626.07,427406466507837.62
1189065694612940.75,5621547057775201280.00,262305982791813.94,38818244749182272.00
8988711594626.07,262305982791813.94,1956546890656.32,81646476066361.22
427406466507837.62,38818244749182272.00,81646476066361.22,73521587627915088.00
