tenant1,tenant2,mutual_information,correlation,n_samples,phase,metric,round
tenant-a,tenant-b,0.19,-0.11,137,all,network_total_bandwidth,round-3
tenant-a,tenant-c,0.01,-0.46,270,all,network_total_bandwidth,round-3
tenant-a,tenant-d,0.05,0.23,270,all,network_total_bandwidth,round-3
tenant-b,tenant-c,0.12,0.07,137,all,network_total_bandwidth,round-3
tenant-b,tenant-d,0.09,0.15,137,all,network_total_bandwidth,round-3
tenant-c,tenant-d,0.01,-0.24,270,all,network_total_bandwidth,round-3
