tenant1,tenant2,mutual_information,correlation,n_samples,phase,metric,round
tenant-a,tenant-b,0.10,-0.06,126,all,memory_usage,round-2
tenant-a,tenant-c,0.22,0.16,264,all,memory_usage,round-2
tenant-a,tenant-d,0.19,0.35,264,all,memory_usage,round-2
tenant-b,tenant-c,0.16,-0.02,126,all,memory_usage,round-2
tenant-b,tenant-d,0.13,-0.09,126,all,memory_usage,round-2
tenant-c,tenant-d,0.23,0.12,264,all,memory_usage,round-2
