tenant1,tenant2,mutual_information,correlation,n_samples,phase,metric,round
tenant-a,tenant-b,0.17,0.07,128,all,cpu_usage,round-1
tenant-a,tenant-c,0.18,0.61,254,all,cpu_usage,round-1
tenant-a,tenant-d,0.18,0.57,254,all,cpu_usage,round-1
tenant-b,tenant-c,0.20,-0.36,128,all,cpu_usage,round-1
tenant-b,tenant-d,0.10,-0.02,128,all,cpu_usage,round-1
tenant-c,tenant-d,0.18,0.65,254,all,cpu_usage,round-1
