tenant1,tenant2,mutual_information,correlation,n_samples,phase,metric,round
tenant-a,tenant-b,0.06,0.14,137,all,cpu_usage,round-3
tenant-a,tenant-c,0.25,0.81,270,all,cpu_usage,round-3
tenant-a,tenant-d,0.23,0.81,270,all,cpu_usage,round-3
tenant-b,tenant-c,0.16,0.27,137,all,cpu_usage,round-3
tenant-b,tenant-d,0.20,0.11,137,all,cpu_usage,round-3
tenant-c,tenant-d,0.30,0.82,270,all,cpu_usage,round-3
